";""Country.name"";""Code"";""PoliticalCorruption_Index"";""GDP_per_capita"";""Lifespan_At_Birth"";""Netmigration"";""Overweight"";""Population_density"";""KWH_pp_pc"";""Military_expenditure"";""Pop_Growth"";""happiness_moyenne"""
"1;""Afghanistan"";""AFG"";0.826545454545455;500.136891676596;62.87425;-480.75;22.025;54.8236252719303;1051.72051909091;1.18178246777778;2.742;2.8638"
"2;""Albania"";""ALB"";0.700090909090909;5438.01752994168;78.567;-11389.625;56.625;104.560174371452;8849.54861818182;1.27820279090909;-0.341818181818182;4.9343"
"3;""Algeria"";""DZA"";0.661818181818182;4819.48660246159;75.476875;-33994.5;60.9;17.2629025587619;15444.2566818182;5.30729334545455;1.828;5.4045"
"5;""Angola"";""AGO"";0.703818181818182;2806.03055465115;61.203375;68470.125;26.5;24.2708140602301;3031.27914545455;2.47683723636364;3.40190909090909;3.87225"
"8;""Argentina"";""ARG"";0.468;12292.2241587048;76.66525;4793.125;62;16.088303916207;22022.4703636364;0.769194839090909;0.671636363636364;6.238"
"9;""Armenia"";""ARM"";0.558636363636364;4625.68188656541;74.302;-25057;53.625;100.071845607462;14458.2699090909;4.36938669090909;0.190727272727273;4.8122"
"10;""Australia"";""AUS"";0.0332727272727273;58696.8133705099;82.5807926829268;210413.125;63.8;3.19126037097783;64596.4978181818;1.90581917272727;1.29590909090909;7.2101"
"11;""Austria"";""AUT"";0.0691818181818182;49946.9303836011;81.4853658536585;56820;53.65;106.097126622502;45877.3822727273;0.782605468181818;0.694727272727273;7.1437"
"12;""Azerbaijan"";""AZE"";0.929909090909091;5761.97266346879;71.30375;1273;52.575;118.840733787337;18096.3848181818;4.39034383636364;0.796818181818182;5.172"
"14;""Bahrain"";""BHR"";0.547272727272727;26417.8032994261;79.534375;10178.625;64.95;1814.33022530371;152605.451818182;4.07162139090909;2.31490909090909;6.2222"
"15;""Bangladesh"";""BGD"";0.899636363636364;1893.79307440316;71.282625;-207443;19.1;1242.28773654964;2591.3509;1.13946409727273;0.925545454545455;4.6082"
"17;""Belarus"";""BLR"";0.357727272727273;6932.14203330075;73.4852012195122;13999.5;58.775;46.4344298772045;31299.0916363636;1.42923471818182;-0.369;5.610625"
"18;""Belgium"";""BEL"";0.031;47184.0687696358;81.2606707317073;55894.625;59.05;375.715811683546;60735.3003636364;0.985659472727273;0.468363636363636;6.8863"
"20;""Benin"";""BEN"";0.339727272727273;1173.02419570273;59.693;2767.5;28.65;103.055029364235;2137.48995454545;0.662392356363636;2.756;4.314"
"22;""Bolivia"";""BOL"";0.654909090909091;3279.02417380639;67.110875;-9449.625;55.2;10.5489218129788;7918.6149;1.50073332727273;1.37418181818182;5.7597"
"23;""Bosnia and Herzegovina"";""BIH"";0.713272727272727;6099.17915857814;76.559125;-31679.75;52.5;67.2399175347222;19723.7239090909;0.882506208181818;-1.22445454545455;5.4574"
"24;""Botswana"";""BWA"";0.160181818181818;7150.07286932092;64.6465;2401.5;42.65;4.23933344704612;10079.2707272727;2.83672592727273;1.48;3.6385"
"25;""Brazil"";""BRA"";0.521636363636364;9602.09323474344;74.535125;49745.375;55.575;24.9285414777291;17328.183;1.2881958;0.617636363636364;6.4685"
"27;""Bulgaria"";""BGR"";0.475545454545455;10320.3920146859;74.6628048780488;-13511.125;61;65.1798994923442;30284.2859090909;1.60905871818182;-0.654272727272727;4.9761"
"28;""Burkina Faso"";""BFA"";0.426181818181818;773.589229996266;59.21325;-18544.375;22.25;72.5322027290448;887.308011818182;1.99402820909091;2.63127272727273;4.3828"
"29;""Burundi"";""BDI"";0.872727272727273;230.934095341836;60.908875;-43917.25;21.375;439.470006922811;231.317270909091;2.39762452727273;2.74445454545455;3.278"
"31;""Cambodia"";""KHM"";0.884090909090909;1913.86962638954;70.165125;-45483.125;20.8;89.5725778633834;3014.86830909091;1.51495637272727;1.38409090909091;4.4079"
"32;""Cameroon"";""CMR"";0.941545454545455;1573.97940728601;60.213625;9465.875;32.65;51.6169638890652;1426.07022727273;1.0554332;2.81045454545455;4.8601"
"33;""Canada"";""CAN"";0.0240909090909091;48584.5928465454;81.8557317073171;294712.375;63.425;4.09649413923447;106849.472909091;1.21197663636364;1.07981818181818;7.1974"
"35;""Central African Republic"";""CAF"";0.806090909090909;434.817627140112;53.18;-72092.375;25.375;8.10186362323028;250.464669090909;1.86176313636364;1.12881818181818;3.2026"
"37;""Chad"";""TCD"";0.952;991.305029676616;52.103;13560.5;22.35;12.0259911054638;382.355714545455;2.14792865454545;3.55590909090909;4.1914"
"38;""Chile"";""CHL"";0.0693636363636364;14920.5822718828;79.852875;131520.625;62.3;24.8146006717487;24106.6379090909;1.85114945454545;1.03054545454545;6.4213"
"39;""China"";""CHN"";0.479363636363636;10018.4752094416;77.300125;-182229.125;31.175;148.32941839568;27751.94;1.70213469090909;0.301363636363636;5.3934"
"40;""Colombia"";""COL"";0.390454545454545;6698.84587188447;76.189125;180241.75;58.2;43.8560735065846;11239.2607272727;3.13110879090909;1.23245454545455;6.0981"
"48;""Croatia"";""HRV"";0.299272727272727;15571.6048848973;77.7435975609756;-12819.5;58.825;73.612609288789;23700.5245454545;1.70095926363636;-0.809818181818182;5.6872"
"50;""Cyprus"";""CYP"";0.164727272727273;29279.3762428977;81.086625;4545.5;58.575;130.676274651275;24167.4020909091;1.66734210909091;1.27536363636364;5.9465"
"51;""Czechia"";""CZE"";0.202727272727273;23337.1784420857;78.7585365853658;2763.25;61.8;137.078554136068;44144.6006363636;1.13597619454545;0.240363636363636;6.7736"
"52;""Denmark"";""DNK"";0.00209090909090909;61545.658248537;80.9582317073171;22572.75;54.875;143.697430555556;34766.9531818182;1.30800078181818;0.567363636363636;7.5801"
"55;""Dominican Republic"";""DOM"";0.715;7860.92092104247;73.035125;-28287.25;59.85;221.545163191347;9955.20509090909;0.676587210909091;1.05554545454545;5.436"
"61;""Ecuador"";""ECU"";0.659272727272727;6175.41708106353;76.257375;43545.75;55.125;67.4465193894168;11801.9123181818;2.44403789090909;1.276;5.8466"
"64;""El Salvador"";""SLV"";0.652454545454545;4231.23612288995;71.98025;-47766;58.975;301.945811883312;5846.59631818182;1.17390596363636;0.288545454545455;6.1741"
"67;""Estonia"";""EST"";0.0296363636363636;23203.9844202667;77.8731707317073;2902.875;55.275;30.6777593689;51393.354;2.10362367272727;0.318818181818182;5.9644"
"68;""Eswatini"";""SWZ"";0.532272727272727;3743.32688971835;56.720125;-9597.875;37.6;67.0219702842377;5275.56508181818;1.82556963636364;0.842636363636364;3.949"
"69;""Ethiopia"";""ETH"";0.571363636363636;750.171205738532;64.34725;58976.25;20.15;96.0435471681927;590.919459090909;0.876661327272727;2.67527272727273;4.277"
"76;""Finland"";""FIN"";0.0124545454545455;48642.1574511576;81.5432926829268;15201.5;57.4;18.0938001628641;59543.2739090909;1.48338582727273;0.305181818181818;7.6706"
"78;""France"";""FRA"";0.0560909090909091;40793.2913361085;82.5109756097561;19997.125;58.825;122.237200267126;40768.201;1.89908614545455;0.316454545454545;6.5887"
"79;""Gabon"";""GAB"";0.807363636363636;7761.66073706294;65.830125;8279.875;39.35;8.2761188945378;8006.7518;1.48443336363636;2.63481818181818;4.6819"
"82;""Georgia"";""GEO"";0.120545454545455;5103.13007942462;73.217375;-11043.25;53.15;65.1136673781448;15016.7491818182;1.91419873636364;-0.0384545454545455;4.6525"
"83;""Germany"";""DEU"";0.0136363636363636;47850.9460532199;80.9289634146342;382440.625;56.225;235.663419593294;44355.6220909091;1.23163763636364;0.414454545454545;6.9521"
"84;""Ghana"";""GHA"";0.620818181818182;2138.96910950178;63.689875;-7680.375;31.1;132.713086892251;2644.74278181818;0.365611337272727;2.105;4.6684"
"85;""Greece"";""GRC"";0.182727272727273;19972.981277837;81.3871951219512;-25800.875;61.675;83.5543720368934;29068.8763636364;2.85201987272727;-0.748727272727273;5.4813"
"87;""Guatemala"";""GTM"";0.763090909090909;4434.92156960264;72.294125;-43709.125;54.925;150.089045456431;4898.70760909091;0.421916524545455;1.64645454545455;6.3252"
"88;""Guinea"";""GIN"";0.866909090909091;1003.80777807431;58.759875;-13969;25.775;49.9014365944978;1251.02323454545;1.93713332727273;2.51763636363636;4.4187"
"91;""Haiti"";""HTI"";0.847;1498.49967993645;63.550125;-33330.375;53.35;394.058716336075;1114.92520454545;0.0659742564545455;1.29872727272727;3.80914285714286"
"94;""Honduras"";""HND"";0.826454545454545;2499.36773316884;72.39325;-6486.5;54.65;86.0194387344714;4628.41035454545;1.46070210909091;1.80481818181818;5.6089"
